id,title,created_at,closed_at,duration_hours
4355,Async/await， read file error: greenlet.error: cannot switch to a different thread,2021-11-26 08:54:57,2021-12-23 00:36:53,639.6988888888889
4297,Blueprint.errorhandler restricts type of result function which avoids chaining,2021-10-07 12:03:29,2022-03-15 15:37:17,3819.5633333333335
4295,error handler type check fails,2021-10-06 21:01:05,2021-11-15 21:37:50,960.6125
4037,The Blueprint(url_prefix) parameter is not working when using nesting blueprint,2021-05-13 10:32:50,2021-05-13 22:27:48,11.91611111111111
3776,request.endpoint always None in SessionInterface.open_session,2020-10-03 11:42:30,2021-02-02 04:45:03,2921.0425
3523,Flask dev server not working with Python 3.6 on Anaconda,2020-03-02 10:46:21,2020-04-03 12:42:51,769.9416666666667
3320,Version tag mismatch in link to example projects from docs,2019-08-01 00:14:39,2019-08-01 19:56:41,19.700555555555557
3297,If arguments are re-written before flask is loaded it sees the original arguments on windows python 2.7,2019-07-10 05:55:01,2019-07-10 19:42:59,13.799444444444445
2743,Documentation search broken,2018-04-29 10:57:08,2018-04-30 00:55:44,13.976666666666667
2735,flask.abort() behavioral change in debug mode,2018-04-27 15:44:05,2018-04-28 14:01:55,22.29722222222222
2731,Flask 1.0 backwards-incompat with double-slash/no-slash re. #2629,2018-04-27 13:12:55,2018-04-27 19:47:01,6.568333333333333
2728,Wrong wheel for Flask 0.12.3 in PyPI,2018-04-27 09:34:05,2018-04-30 01:27:34,63.89138888888889
2651,get_json's silent option cache None and causes weird side-effect,2018-03-05 20:09:06,2018-04-09 10:00:42,829.86
2549,"""Request.is_xhr deprecated"" warning during jsonify()",2017-12-11 17:54:11,2017-12-11 18:17:42,0.39194444444444443
2526,Invalid range with send_file() and xsendfile causes ValueError,2017-11-23 09:13:39,2017-11-24 23:44:49,38.519444444444446
2267,Flask error handler caching leads to inconsistent behavior,2017-05-02 01:20:27,2017-06-05 13:34:49,828.2394444444444
2118,config.from_pyfile crashes on Python 3 when source isn't encoded in default encoding,2016-12-20 03:01:50,2016-12-26 02:51:24,143.82611111111112
2033,failing test for safe_join in windows,2016-09-21 09:41:07,2017-05-16 00:11:35,5678.507777777778
2007,Prevent setting `SERVER_NAME` and `SESSION_COOKIE_DOMAIN` to an IP address,2016-09-06 12:39:36,2017-05-14 05:13:57,5992.5725
1995,No response and No exception traceback when render_template failed and DEBUG=True,2016-08-27 06:14:30,2017-05-29 19:50:13,6613.5952777777775
1980,"""Larger Applications"" docs don't play nicely with flask run",2016-08-09 17:51:00,2016-09-11 16:05:28,790.2411111111111
1911,Wrong import json library,2016-06-14 09:02:06,2017-05-22 19:37:58,8218.597777777777
1902,Import error with some examples,2016-06-09 20:35:18,2016-08-22 18:53:44,1774.3072222222222
1893,Travis 3.3-devel job fails with error about urllib2 in Werkzeug,2016-06-07 16:28:49,2016-06-07 17:32:48,1.0663888888888888
1877,jsonify no longer causes Content-Length to be set on returned Response object,2016-06-03 08:24:29,2017-05-30 20:47:38,8676.385833333334
1837,Setting error handler for unknown code fails,2016-05-31 07:51:12,2017-06-01 01:10:00,8777.313333333334
1829,"""[Errno 2] No such file or directory"" on flask run with FLASK_DEBUG=1",2016-05-29 19:03:30,2016-12-26 18:59:20,5063.930555555556
1427,Bug in send_file with temp files,2015-04-10 16:52:33,2016-06-03 16:17:04,10079.408611111112
1406,Generic error handler for any exception,2015-03-29 15:54:55,2015-03-29 17:16:25,1.3583333333333334
1348,sessions not saved when streaming,2015-02-08 19:03:16,2017-06-03 19:26:15,20304.383055555554
1330,Method is_json does not support capital letters in mimetype,2015-01-28 15:34:45,2015-01-29 09:24:38,17.83138888888889
1173,python3 -mpdb myflaskapp.py fon ubuntu 14.04,2014-09-10 17:17:49,2014-10-19 18:20:57,937.0522222222222
1169,"BUG in ""send_file"" and ""send_from_directory""",2014-09-04 10:38:47,2015-11-07 09:15:11,10294.606666666667
1167,Randomly Unresponsive After Strange Character Requests,2014-09-03 20:37:59,2014-10-19 18:23:11,1101.7533333333333
1124,"CLI: ""flask"" command help doesn't list custom commands",2014-07-16 08:39:22,2016-05-26 19:29:49,16330.840833333334
941,Registering a handler for HTTPException has no effect,2014-01-03 18:58:20,2017-05-23 19:55:33,29664.953611111112
