year_month,count
2010-04,169
2010-05,96
2010-06,68
2010-07,168
2010-08,21
2010-09,3
2010-10,18
2010-11,6
2010-12,7
2011-01,12
2011-02,7
2011-03,32
2011-04,10
2011-05,30
2011-06,105
2011-07,61
2011-08,100
2011-09,64
2011-10,21
2011-11,16
2011-12,5
2012-01,37
2012-02,20
2012-03,57
2012-04,62
2012-05,8
2012-06,23
2012-07,23
2012-08,19
2012-09,8
2012-10,48
2012-11,11
2012-12,16
2013-01,18
2013-02,8
2013-03,16
2013-04,5
2013-05,109
2013-06,74
2013-07,25
2013-08,19
2013-09,19
2013-10,20
2013-11,3
2013-12,5
2014-01,18
2014-02,55
2014-03,39
2014-04,57
2014-05,36
2014-06,15
2014-07,28
2014-08,37
2014-09,66
2014-10,38
2014-11,38
2014-12,38
2015-01,22
2015-02,41
2015-03,51
2015-04,30
2015-05,14
2015-06,32
2015-07,18
2015-08,3
2015-09,4
2015-10,15
2015-11,20
2015-12,16
2016-01,12
2016-02,11
2016-03,15
2016-04,19
2016-05,40
2016-06,88
2016-07,12
2016-08,20
2016-09,29
2016-10,11
2016-11,15
2016-12,27
2017-01,14
2017-02,11
2017-03,31
2017-04,47
2017-05,166
2017-06,82
2017-07,17
2017-08,13
2017-09,6
2017-10,12
2017-11,11
2017-12,24
2018-01,42
2018-02,24
2018-03,8
2018-04,110
2018-05,42
2018-06,24
2018-07,9
2018-08,2
2018-09,20
2018-10,15
2018-11,13
2018-12,12
2019-01,52
2019-02,6
2019-03,6
2019-04,11
2019-05,112
2019-06,44
2019-07,41
2019-08,16
2019-09,18
2019-10,17
2019-11,20
2019-12,2
2020-01,3
2020-02,40
2020-03,13
2020-04,36
2020-05,13
2020-06,34
2020-07,54
2020-08,19
2020-09,8
2020-10,20
2020-11,19
2020-12,4
2021-01,26
2021-02,48
2021-03,21
2021-04,50
2021-05,116
2021-06,27
2021-07,21
2021-08,38
2021-09,20
2021-10,31
2021-11,38
2021-12,22
2022-01,11
2022-02,27
2022-03,37
2022-04,34
2022-05,44
2022-06,54
2022-07,54
2022-08,57
2022-09,8
2022-10,9
2022-11,10
2022-12,23
2023-01,20
2023-02,43
2023-03,18
2023-04,61
2023-05,41
2023-06,40
2023-07,15
2023-08,34
2023-09,10
2023-10,8
2023-11,22
2023-12,13
2024-01,18
2024-02,13
2024-04,24
2024-05,20
2024-06,8
2024-07,10
2024-08,16
2024-09,4
2024-10,21
2024-11,38
2025-01,7
2025-03,18
2025-05,16
2025-06,13
2025-07,1
2025-08,20
2025-09,3
2025-10,1
2025-11,7
